datePK,date,year,monthNumber,month,day,weatherSeason,weekDayNumber,weekDay,weekendIndicator,tourismSeason
1,2009-06-07,2009,6,June,7,Summer,7,Sunday,weekend,low
2,2009-06-28,2009,6,June,28,Summer,7,Sunday,weekend,low
3,2009-07-17,2009,7,July,17,Summer,5,Friday,weekday,low
4,2009-08-31,2009,8,August,31,Summer,1,Monday,weekday,low
5,2009-09-10,2009,9,September,10,Autumn,4,Thursday,weekday,low
6,2009-10-02,2009,10,October,2,Autumn,5,Friday,weekday,low
7,2009-10-04,2009,10,October,4,Autumn,7,Sunday,weekend,low
8,2009-10-09,2009,10,October,9,Autumn,5,Friday,weekday,low
9,2009-10-19,2009,10,October,19,Autumn,1,Monday,weekday,low
10,2009-10-24,2009,10,October,24,Autumn,6,Saturday,weekend,low
11,2009-10-27,2009,10,October,27,Autumn,2,Tuesday,weekday,low
12,2009-11-03,2009,11,November,3,Autumn,2,Tuesday,weekday,low
13,2009-11-10,2009,11,November,10,Autumn,2,Tuesday,weekday,low
14,2009-11-23,2009,11,November,23,Autumn,1,Monday,weekday,low
15,2009-11-25,2009,11,November,25,Autumn,3,Wednesday,weekday,low
16,2009-11-28,2009,11,November,28,Autumn,6,Saturday,weekend,low
17,2010-01-14,2010,1,January,14,Winter,4,Thursday,weekday,low
18,2010-01-27,2010,1,January,27,Winter,3,Wednesday,weekday,low
19,2010-01-31,2010,1,January,31,Winter,7,Sunday,weekend,low
20,2010-02-07,2010,2,February,7,Winter,7,Sunday,weekend,low
21,2010-02-13,2010,2,February,13,Winter,6,Saturday,weekend,low
22,2010-02-21,2010,2,February,21,Winter,7,Sunday,weekend,low
23,2010-03-16,2010,3,March,16,Spring,2,Tuesday,weekday,low
24,2010-03-21,2010,3,March,21,Spring,7,Sunday,weekend,low
25,2010-03-23,2010,3,March,23,Spring,2,Tuesday,weekday,low
26,2010-03-25,2010,3,March,25,Spring,4,Thursday,weekday,low
27,2010-03-28,2010,3,March,28,Spring,7,Sunday,weekend,low
28,2010-03-31,2010,3,March,31,Spring,3,Wednesday,weekday,low
29,2010-04-04,2010,4,April,4,Spring,7,Sunday,weekend,low
30,2010-04-11,2010,4,April,11,Spring,7,Sunday,weekend,low
31,2010-04-15,2010,4,April,15,Spring,4,Thursday,weekday,low
32,2010-04-19,2010,4,April,19,Spring,1,Monday,weekday,low
33,2010-04-23,2010,4,April,23,Spring,5,Friday,weekday,low
34,2010-05-01,2010,5,May,1,Spring,6,Saturday,weekend,low
