facilitiesPK,propertyType,roomType,accommodates,bathrooms,bedrooms,beds,bedType,guestsIncluded,amenitiesFK
1,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,2,1
2,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,1,1670
3,Apartment,Entire home/apt,4,1.0,1.0,3.0,Real Bed,1,1669
4,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1667
5,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,1,1666
6,Apartment,Entire home/apt,2,1.5,0.0,1.0,Real Bed,1,1664
7,Apartment,Entire home/apt,5,1.0,2.0,2.0,Real Bed,4,1133
8,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,4,1662
9,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,1,1661
10,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,1,1660
11,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,2,1659
12,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1658
13,Apartment,Shared room,1,1.0,1.0,1.0,Airbed,1,1484
14,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1656
15,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,0,1655
16,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,1,1654
17,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,1,1651
18,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1650
19,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,3,1635
20,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1636
21,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,2,1637
22,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2,1638
23,Apartment,Entire home/apt,4,1.0,0.0,2.0,Real Bed,2,1639
24,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,0,1640
25,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,3,1672
26,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,2,1641
27,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1644
28,Apartment,Entire home/apt,2,1.0,0.0,1.0,Futon,1,1645
29,Apartment,Shared room,2,1.0,1.0,1.0,Real Bed,1,1647
30,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,1,1631
31,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,1,3619
32,Apartment,Entire home/apt,5,2.0,2.0,2.0,Real Bed,4,1649
33,Apartment,Entire home/apt,6,1.0,3.0,3.0,Real Bed,2,1642
34,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,2,1673
35,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1674
36,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,1,1530
37,Apartment,Entire home/apt,7,1.0,2.0,7.0,Real Bed,1,1762
38,Apartment,Entire home/apt,4,1.0,0.0,3.0,Real Bed,1,1763
39,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1767
40,Apartment,Private room,3,1.0,1.0,2.0,Real Bed,2,1769
41,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,0,1774
42,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,0,1779
43,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1760
44,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,1,1789
45,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,4,1803
46,Apartment,Entire home/apt,8,2.0,3.0,3.0,Real Bed,6,1809
47,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2,1819
48,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2,1835
49,Apartment,Entire home/apt,2,1.0,0.0,1.0,Futon,1,1837
50,Apartment,Entire home/apt,2,1.0,1.0,1.0,Futon,1,1840
51,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,1,1790
52,Apartment,Entire home/apt,6,2.0,2.0,3.0,Real Bed,4,1634
53,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1755
54,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1743
55,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,2,1684
56,Apartment,Entire home/apt,1,1.0,1.0,1.0,Real Bed,1,1689
57,Apartment,Entire home/apt,3,1.0,0.0,1.0,Real Bed,0,1704
58,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1705
59,Apartment,Entire home/apt,5,2.0,2.0,2.0,Real Bed,1,1707
60,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,139
61,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,2,1748
62,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,2,1713
63,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,1,1717
64,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,2,1718
65,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,1,1721
66,Apartment,Private room,1,1.0,1.0,1.0,Futon,1,1728
67,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,2,1729
68,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,1,1736
69,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1715
70,Apartment,Entire home/apt,3,1.0,0.0,2.0,Real Bed,1,1633
71,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,4,1632
72,Apartment,Entire home/apt,2,1.0,0.0,2.0,Real Bed,1,1631
73,Apartment,Entire home/apt,3,1.0,0.0,1.0,Real Bed,0,1569
74,Apartment,Entire home/apt,3,1.0,0.0,1.0,Real Bed,0,1571
75,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,1,1572
76,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,1,1574
77,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,1,1575
78,Apartment,Shared room,2,1.0,1.0,1.0,Real Bed,1,1577
79,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,4,1568
80,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1578
81,Apartment,Entire home/apt,3,1.0,0.0,1.0,Real Bed,2,1580
82,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,2,1581
83,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2,1376
84,Apartment,Entire home/apt,6,2.0,1.0,4.0,Real Bed,1,1444
85,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,1,1585
86,Apartment,Entire home/apt,5,2.0,2.0,3.0,Real Bed,1,1586
87,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,2,1579
88,Apartment,Entire home/apt,4,1.0,0.0,1.0,Real Bed,1,1587
89,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,2,1567
90,Apartment,Entire home/apt,6,2.0,2.0,2.0,Real Bed,4,1564
91,Apartment,Entire home/apt,6,1.0,2.0,4.0,Real Bed,1,1444
92,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,1,1549
93,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,1,1550
94,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,2,1551
95,Apartment,Private room,2,1.0,1.0,1.0,Airbed,1,1552
96,Apartment,Private room,2,1.0,1.0,1.0,Pull-out Sofa,0,1553
97,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,2,1566
98,Apartment,Entire home/apt,6,2.0,2.0,2.0,Real Bed,2,1554
99,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,1,1534
100,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,2,1557
101,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,2,1558
102,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,1,1560
103,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,1,1561
104,Apartment,Shared room,2,1.0,1.0,1.0,Real Bed,0,1563
105,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,1,1555
106,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,1,40
107,Apartment,Entire home/apt,3,1.0,0.0,1.0,Real Bed,1,1588
108,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1534
109,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,1613
110,Apartment,Entire home/apt,1,1.0,0.0,1.0,Airbed,1,1614
111,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,4,1376
112,Apartment,Entire home/apt,4,1.0,0.0,1.0,Futon,2,1373
113,Apartment,Entire home/apt,5,1.0,1.0,3.0,Real Bed,2,1617
114,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,2,1618
115,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,1,1534
116,Apartment,Entire home/apt,7,2.0,2.0,3.0,Real Bed,4,1619
117,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,2,1143
118,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,2,1226
119,Apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,2,1626
120,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2,1628
121,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2,1629
122,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,2,1630
123,Apartment,Entire home/apt,1,1.0,0.0,1.0,Real Bed,2,1621
124,Apartment,Entire home/apt,4,1.0,0.0,2.0,Real Bed,2,1590
125,Apartment,Entire home/apt,3,1.0,0.0,1.0,Real Bed,1,1611
126,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,4,1609
127,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,2,1592
128,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2,1593
129,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,1,1594
130,Apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,1,1595
