weatherPK,tMinBand,tMaxBand,precipitationBand,rain
1,>=14,>=14,0-0.99,It rained
2,>=14,>=14,0-0.99,It did not rain
3,>=14,>=14,1-2.99,It rained
4,>=14,>=14,1-2.99,It did not rain
5,>=14,>=14,3-4.99,It rained
6,>=14,>=14,3-4.99,It did not rain
7,>=14,>=14,>=5,It rained
8,>=14,>=14,>=5,It did not rain
9,>=14,15-32,0-0.99,It rained
10,>=14,15-32,0-0.99,It did not rain
11,>=14,15-32,1-2.99,It rained
12,>=14,15-32,1-2.99,It did not rain
13,>=14,15-32,3-4.99,It rained
14,>=14,15-32,3-4.99,It did not rain
15,>=14,15-32,>=5,It rained
16,>=14,15-32,>=5,It did not rain
17,>=14,33-50,0-0.99,It rained
18,>=14,33-50,0-0.99,It did not rain
19,>=14,33-50,1-2.99,It rained
20,>=14,33-50,1-2.99,It did not rain
21,>=14,33-50,3-4.99,It rained
22,>=14,33-50,3-4.99,It did not rain
23,>=14,33-50,>=5,It rained
24,>=14,33-50,>=5,It did not rain
25,>=14,51-68,0-0.99,It rained
26,>=14,51-68,0-0.99,It did not rain
27,>=14,51-68,1-2.99,It rained
28,>=14,51-68,1-2.99,It did not rain
29,>=14,51-68,3-4.99,It rained
30,>=14,51-68,3-4.99,It did not rain
31,>=14,51-68,>=5,It rained
32,>=14,51-68,>=5,It did not rain
33,>=14,69-86,0-0.99,It rained
34,>=14,69-86,0-0.99,It did not rain
35,>=14,69-86,1-2.99,It rained
36,>=14,69-86,1-2.99,It did not rain
37,>=14,69-86,3-4.99,It rained
38,>=14,69-86,3-4.99,It did not rain
39,>=14,69-86,>=5,It rained
40,>=14,69-86,>=5,It did not rain
41,>=14,>=87,0-0.99,It rained
42,>=14,>=87,0-0.99,It did not rain
43,>=14,>=87,1-2.99,It rained
44,>=14,>=87,1-2.99,It did not rain
45,>=14,>=87,3-4.99,It rained
46,>=14,>=87,3-4.99,It did not rain
47,>=14,>=87,>=5,It rained
48,>=14,>=87,>=5,It did not rain
